297268AZUL CLARO     0429000000020000.00000.0 
297601BRANCO         0003000000000000.00000.0 
297621CINZA          1471001600720000.00000.0 
299301BRANCO         0371000000060000.00000.0 
299302PRETO          0779000000000000.00000.0 
299318VERMELHO       0000000000000000.00000.0 
299319AZUL           0000000000000000.00000.0 
299345CHUMBO         0031000000000000.00000.0 
299368AZUL CLARO     0369000000000000.00000.0 
299501BRANCO         0541000000340000.00000.0 
299502PRETO          0765000000130000.00000.0 
299503PRATA          0023000000000000.00000.0 
299517LARANJA        0090000000000000.00000.0 
299518VERMELHO       0583000000130000.00000.0 
299545CHUMBO         0029000000000000.00000.0 
307101BRANCO         0000000000000000.00000.0 
307102PRETO          0000000000000000.00000.0 
307112ROSA           0041000000020000.00000.0 
307113ROSA NEON      0007000000000000.00000.0 
307114LARANJA NEON   0027000000170000.00000.0 
307115AMARELO NEON   0126000000270000.00000.0 
307117LARANJA        0000000000000000.00000.0 
307126AZUL TURQUESA  0000000000000000.00000.0 
307162ROXO           0069000000010000.00000.0 
307168AZUL CLARO     0234000000300000.00000.0 
307174ROXO PASTEL    0000000000000000.00000.0 
307180ROSA FORTE     0000000000000000.00000.0 
341302PRETO          0115000500240000.00000.0 
341318VERMELHO       0063000100140000.00000.0 
341321CINZA          0007000000010000.00000.0 
341322VERDE MUSGO    0039000500330000.00000.0 
341325AZUL MARINHO   0028000000030000.00000.0 
343901BRANCO         0043000000000000.00000.0 
343902PRETO          0517000000020000.00000.0 
343918VERMELHO       0292000000010000.00000.0 
343941VERDE LIMAO    0218000000000000.00000.0 
343945CHUMBO         0038000000000000.00000.0 
343954VERDE PASTEL   0188000000020000.00000.0 
343968AZUL CLARO     0052000000000000.00000.0 
345401BRANCO         0122000000000000.00000.0 
345421CINZA          1219000900520000.00000.0 
345712ROSA           0065000000070000.00000.0C
345716VERDE          0000000000000000.00000.0 
345719AZUL           0287000100360000.00000.0A
345721CINZA          0028000000000000.00000.0 
345767MAGENTA        0153000200290000.00000.0A
347805AMARELO        0554000000140000.00000.0B
347816VERDE          0040000100490000.00000.0 
347817LARANJA        0001000000000000.00000.0 
347818VERMELHO       0479000000070000.00000.0C
347819AZUL           1158000300300000.00000.0A
352819AZUL           0654000000090000.00000.0 
352822VERDE MUSGO    0645000000070000.00000.0 
358004BEGE           0245000200160000.00000.0B
358016VERDE          0830000500520000.00000.0C
358019AZUL           1340000500390000.00000.0A
359801BRANCO         0835000100230000.00000.0 
359802PRETO          0554000000120000.00000.0 
359818VERMELHO       0311000100150000.00000.0 
359819AZUL           0014000000000000.00000.0 
361702PRETO          0003000000000000.00000.0 
361703PRATA          0964001100840000.00000.0 
361772DOURADO        0975001100640000.00000.0 
362017LARANJA        0085000000060000.00000.0C
362019AZUL           0327000400340000.00000.0A
362021CINZA          0212000200190000.00000.0B
373214LARANJA NEON   0000000000000000.00000.0 
373219AZUL           0892000300420000.00000.0A
373267MAGENTA        0867000200660000.00000.0A
377917LARANJA        0153000000080000.00000.0C
377919AZUL           0069000100160000.00000.0A
377926AZUL TURQUESA  0244000000080000.00000.0A
379117LARANJA        0041000000120000.00000.0C
379119AZUL           0256000100290000.00000.0 
379121CINZA          0205000000220000.00000.0 
379134CINZA MEDIO    0000000000000000.00000.0 
379616VERDE          0052000000070000.00000.0C
379619AZUL           0178000100100000.00000.0 
379671LILAS          0262000000200000.00000.0 
380201BRANCO         0175000000110000.00000.0 
380202PRETO          0000000000000000.00000.0 
380217LARANJA        0196000200190000.00000.0 
381816VERDE          0357000100070000.00000.0A
381819AZUL           0332000000100000.00000.0A
381867MAGENTA        0008000000000000.00000.0 
382016VERDE          0572000400370000.00000.0B
382019AZUL           0785001000640000.00000.0A
382067MAGENTA        0059000000010000.00000.0C
382502PRETO          0418000300210000.00000.0 
382516VERDE          0069000000000000.00000.0 
382518VERMELHO       0434000600310000.00000.0 
382521CINZA          0378000000050000.00000.0 
382531AREIA          0071000300330000.00000.0 
383001BRANCO         0119000200150000.00000.0 
383002PRETO          0492000600280000.00000.0 
383016VERDE          0058000000000000.00000.0 
383018VERMELHO       0306000400340000.00000.0 
383021CINZA          0073000000000000.00000.0 
383030FERRUGEM       0001000000000000.00000.0 
383031AREIA          0079000700480000.00000.0 
383034CINZA MEDIO    0023000000000000.00000.0 
383201BRANCO         0463000100290000.00000.0 
383202PRETO          0368000100160000.00000.0 
383216VERDE          0008000000000000.00000.0 
383218VERMELHO       0199000000010000.00000.0 
383268AZUL CLARO     0277000300290000.00000.0 
383401BRANCO         0089000000050000.00000.0 
383402PRETO          0126000000000000.00000.0 
383418VERMELHO       0204000000060000.00000.0 
383419AZUL           0107000000020000.00000.0 
383468AZUL CLARO     0081000000000000.00000.0 
384518VERMELHO       0520001100750000.00000.0 
384519AZUL           0737001100450000.00000.0 
384718VERMELHO       0425000900870000.00000.0 
384719AZUL           0993001700650000.00000.0 
384918VERMELHO       0585001200500000.00000.0 
384919AZUL           0904004300870000.00000.0 
389605AMARELO        0474000600490000.00000.0A
389616VERDE          0558000100710000.00000.0A
389673SALMAO         0117000000040000.00000.0C
389705AMARELO        0061000000070000.00000.0C
389716VERDE          0236000000180000.00000.0 
389719AZUL           0043000000070000.00000.0 
389773SALMAO         0114000000030000.00000.0C
392002PRETO          0102000000130000.00000.0 
392017LARANJA        0336000400200000.00000.0 
392018VERMELHO       0190000100080000.00000.0 
392068AZUL CLARO     0443000300510000.00000.0 
392079VERDE FORTE    0180000500210000.00000.0 
392625AZUL MARINHO   0106000300580000.00000.0 
392717LARANJA        0142000400350000.00000.0 
392808ROSA PASTEL    0301000400700000.00000.0 
392904BEGE           0175000000010000.00000.0 
393016VERDE          0964001100820000.00000.0A
393019AZUL           1132001900760000.00000.0A
393026AZUL TURQUESA  0090000000000000.00000.0C
394105AMARELO        0105000300430000.00000.0 
394119AZUL           0103000300390000.00000.0 
395916VERDE          0000000000000000.00000.0 
395919AZUL           0093000200130000.00000.0 
395973SALMAO         0094000100130000.00000.0 
396401BRANCO         0006000000000000.00000.0 
396402PRETO          0001000000000000.00000.0 
396403PRATA          0768000000060000.00000.0 
397116VERDE          0153000000030000.00000.0C
397117LARANJA        0143000000130000.00000.0C
397119AZUL           0411000500500000.00000.0A
397142VERDE PETROLEO 0000000000000000.00000.0 
397167MAGENTA        0106000300470000.00000.0A
402002PRETO          0000000000000000.00000.0 
402003PRATA          0001000000020000.00000.0C
402004BEGE           0000000000010000.00000.0C
402018VERMELHO       0001000000000000.00000.0C
402019AZUL           0000000000000000.00000.0 
402022VERDE MUSGO    0130000100270000.00000.0 
402030FERRUGEM       0078000000210000.00000.0 
402033VINHO          0061000000040000.00000.0A
402034CINZA MEDIO    0000000000000000.00000.0 
402045CHUMBO         0000000000000000.00000.0 
408901BRANCO         0000000000000000.00000.0 
408902PRETO          0019000000010000.00000.0A
408918VERMELHO       0000000000000000.00000.0 
408919AZUL           0002000000020000.00000.0C
408921CINZA          0000000000000000.00000.0 
408933VINHO          0000000000000000.00000.0 
409002PRETO          0000000000000000.00000.0A
409005AMARELO        0000000000000000.00000.0 
409016VERDE          0000000000000000.00000.0 
409018VERMELHO       0000000000000000.00000.0 
409019AZUL           0000000000000000.00000.0B
409033VINHO          0000000000000000.00000.0C
409102PRETO          0002000000000000.00000.0 
409118VERMELHO       0000000000000000.00000.0 
409119AZUL           0002000000010000.00000.0 
409133VINHO          0000000000000000.00000.0 
409616VERDE          0012000000050000.00000.0A
409618VERMELHO       0014000000050000.00000.0B
409619AZUL           0000000000010000.00000.0 
409623AZUL ROYAL     0001000000000000.00000.0 
409645CHUMBO         0000000000000000.00000.0 
409677GOIABA         0000000000000000.00000.0 
416902PRETO          0052000000330000.00000.0A
416916VERDE          0000000000000000.00000.0 
416919AZUL           0049000000060000.00000.0B
416922VERDE MUSGO    0011000000130000.00000.0 
416966MOSTARDA       0001000000000000.00000.0 
418702PRETO          0039000000330000.00000.0A
418718VERMELHO       0005000000030000.00000.0C
418719AZUL           0030000000070000.00000.0A
418723AZUL ROYAL     0028000000200000.00000.0 
418777GOIABA         0000000000000000.00000.0 
418802PRETO          0149000200340000.00000.0 
418803PRATA          0002000000000000.00000.0 
418804BEGE           0030000000030000.00000.0 
418818VERMELHO       0000000000000000.00000.0 
418819AZUL           0000000000000000.00000.0 
418821CINZA          0000000000010000.00000.0 
418822VERDE MUSGO    0018000000100000.00000.0 
418825AZUL MARINHO   0023000000230000.00000.0 
418829AZUL PETROLEO  0061000000040000.00000.0 
418852VERMELHO CINZA 0004000000010000.00000.0 
418857PRETO AZUL TURQ0004000000000000.00000.0 
418867MAGENTA        0000000000000000.00000.0 
418902PRETO          0000000000000000.00000.0 
418916VERDE          0000000000000000.00000.0 
418921CINZA          0000000000000000.00000.0 
418944CHUMBO AZUL TUR0032000000020000.00000.0A
