MA20020ADULTO / SHORT / ESTAMPADO                           4549SHORT SEAWAY 216 LONGO                  029360201.00011000010000100001000000000000001-211  /  /    0000020100001         10 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           4634SHORT SEAWAY 242 LONGO                  020320005.00025000150001500015000000000000015-015  /  /    0000000500001         60 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           4664SHORT SEAWAY 248 LONGO                  030960212.00016000090000900009000000000000009-218  /  /    0000021100001         57 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           4678SHORT SEAWAY 252 LONGO                  025640010.000830027400274002740000000000002740181  /  /    0000000900001        331 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           4690SHORT SEAWAY 257 LONGO                  022040006.000050001600016000160000000000000160005  /  /    0000000600001        320 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           4769SHORT SEAWAY 264 MEDIO                  020860005.001130016400164001640000000000001640046  /  /    0000000500001        146 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           4838SHORT SEAWAY 274 ALGODAO MEDIO          001480000.00058000150001500015000000000000015-04307/10/2025-043000000001         26 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           4965SHORT SEAWAY 309 LONGO                  009420001.00036000250002500025000000000000025-012  /  /    0000000100001         70 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           4990SHORT SEAWAY 313 LONGO                  014080206.00052001110011100111000000000000111-147  /  /    0000020500001        214 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           7132SHORT SEAWAY 158 CURTO                  002110100.00018000010000100001000000000000001-117  /  /    0000010000001          6 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           7275SHORT SEAWAY 57 ALGODAO MEDIO           001660062.00005000000000000000000000000000000-067  /  /    0000006200001          0 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           7338SHORT SEAWAY 78 LONGO                   021600001.000110001300013000130000000000000130001  /  /    0000000100001        119 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           7455SHORT SEAWAY 135 MOLETON LONGO          000400000.00006000000000000000000000000000000-006  /  /    0000000000001          0 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           7495SHORT SEAWAY 196 LONGO                  025450213.00031000410004100041000000000000041-201  /  /    0000021300001        133 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           7496SHORT SEAWAY 197 LONGO                  010610003.00013000010000100001000000000000001-015  /  /    0000000300001X         8 00106ALTO VERAO/25  
MA20020ADULTO / SHORT / ESTAMPADO                           7501SHORT SEAWAY 198 LONGO                  011440002.00029000090000900009000000000000009-022  /  /    0000000200001X        32 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                1328SHORT SEAWAY 152 CURTO                  000020060.000010000000000000820000000000000820021  /  /    0000006000001          0 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                4612SHORT SEAWAY 226 ALGODAO MEDIO          004510093.00018000150001500015000000000000015-096  /  /    0000009300001         84 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                4617SHORT SEAWAY 227 MEDIO LISO             007540016.00074000290002900029000000000000029-061  /  /    0000000100001         40 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                4618SHORT SEAWAY 228 MEDIO LISO             000660003.00058000010000100001000000000000001-060  /  /    0000000000001          2 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                4619SHORT SEAWAY 229 MEDIO LISO             000650000.00060000040000400004000000000000004-056  /  /    0000000000001          7 00097VERAO/23       
MA21021ADULTO / SHORT / LISO                                4620SHORT SEAWAY 230 LONGO LISO             021330372.000900017100171001710073000730009010444  /  /    0000000403501        190 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                4621SHORT SEAWAY 231 LONGO LISO             000490019.00067000050000500005000000000000005-081  /  /    0000000000001          8 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                4631SHORT SEAWAY 240 LONGO LISO             013840086.00076001000010000100000000000000100-062  /  /    0000000200001        132 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                4633SHORT SEAWAY 241 LONGO LISO             008210003.00084000360003600036000000000000036-051  /  /    0000000000001         43 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                4647SHORT SEAWAY 245 MEDIO LISO VIES        002130130.00024000010000100001000000000000001-153  /  /    0000013000001          5 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                4656SHORT SEAWAY 247 ALGODAO MEDIO          011390001.00054000530005300053000000000000053-002  /  /    0000000100001         99 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7117SHORT SEAWAY 153 CURTO LISO             006420009.00052000150001500015000000000000015-046  /  /    0000000400001         29 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7119SHORT SEAWAY 154 CURTO LISO             001360014.00077000200002000020000000000000020-071  /  /    0000000000001         26 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7121SHORT SEAWAY 155 CURTO LISO             001940000.00033000040000400004000000000000004-029  /  /    0000000000001         13 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7123SHORT SEAWAY 156 CURTO LISO             003280015.00064000090000900009000000000000009-070  /  /    0000000300001         15 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7223SHORT SEAWAY 164 MEDIO LISO             001690099.00003000000000000000000000000000000-102  /  /    0000009900001          0 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7248SHORT SEAWAY 167 MEDIO LISO             002780122.00033000170001700017000000000000017-138  /  /    0000012200001         52 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7250SHORT SEAWAY 168 MEDIO LISO             002960003.00071000210002100021000000000000021-053  /  /    0000000200001         30 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7316SHORT SEAWAY 63 CURTO LISO              001420024.00075000000000000001000000000000001-098  /  /    0000000000001          0 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7317SHORT SEAWAY 58 ALGODAO CURTO           011770005.00050000470004700047000000000000047-008  /  /    0000000500001         94 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7318SHORT SEAWAY 64 JEANS MEDIO             002030061.00012000020000200002000000000000002-071  /  /    0000006100001         17 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7325SHORT SEAWAY 54 MOLETON LONGO           000090000.00004000000000000000000000000000000-004  /  /    0000000000001          0 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7342SHORT SEAWAY 71 ALGODAO CURTO           001260000.00006000000000000000000000000000000-006  /  /    0000000000001          0 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7396SHORT SEAWAY 86 MEDIO LISO              010690002.00081000120001200012000000000000012-071  /  /    0000000100001         15 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7411SHORT SEAWAY 85 CURTO LISO              001060120.00059000070000700007000000000000007-172  /  /    0000012000001         12 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7428SHORT SEAWAY 123 CURTO LISO             000890002.00060000010000100001000000000000001-061  /  /    0000000000001          2 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7429SHORT SEAWAY 124 CURTO LISO             001390009.00064000010000100001000000000000001-072  /  /    0000000200001          2 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7433SHORT SEAWAY 122 CURTO LISO             001530001.00060000010000100001000000000000001-060  /  /    0000000000001          2 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7441SHORT SEAWAY 129 ALGODAO CURTO          009150090.00064000260002600026000000000000026-128  /  /    0000009000001         41 00106ALTO VERAO/25  
MA21021ADULTO / SHORT / LISO                                7472SHORT SEAWAY 139 MOLETON                001280060.00012000020000200002000000000000002-070  /  /    0000006000001         17 00106ALTO VERAO/25  
MA28028ADULTO / CALCA / ALGODAO                             4663CALCA SEAWAY 27 ALGODAO SLIM CARGO ELA  000710001.00009000000000000001000000000000001-009  /  /    0000000100001          0 00106ALTO VERAO/25  
MA28028ADULTO / CALCA / ALGODAO                             4707CALCA SEAWAY 28 ALGODAO SLIM            001620008.00059000060000600006000000000000006-061  /  /    0000000000001         11 00106ALTO VERAO/25  
MA28028ADULTO / CALCA / ALGODAO                             4828SEAWAY 30 SLIM CARGO                    000880068.00032000030000300003000000000000003-097  /  /    0000006100001         10 00106ALTO VERAO/25  
MA28028ADULTO / CALCA / ALGODAO                             6076CALCA SEAWAY 26 ALGODAO                 000020000.00008000000000000000000000000000000-008  /  /    0000000000001          0 00106ALTO VERAO/25  
